epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,819.678,1.42819,2.15571,0.96989,1.05701,0.76584,0.61268,0.66145,0.34624,0.70354,0.59073,0.59798,0.32607,1.99183,3.0248,1.50968,1.34014,0.000886694,0.000886694,0.000886694
117,826.918,1.42229,2.17075,0.97069,1.06413,0.64965,0.67728,0.6496,0.33831,0.67408,0.57577,0.58134,0.31698,1.99631,3.0504,1.45974,1.33003,0.000881979,0.000881979,0.000881979
118,834.135,1.46323,2.19314,0.98507,1.08844,0.69329,0.66134,0.66804,0.3434,0.65291,0.64687,0.63035,0.34168,1.98795,2.94857,1.43955,1.34399,0.000877263,0.000877263,0.000877263
119,840.804,1.43337,2.17597,0.95291,1.0685,0.73556,0.63107,0.66146,0.34414,0.70601,0.61223,0.61596,0.34055,1.99161,2.94919,1.43413,1.3531,0.000872547,0.000872547,0.000872547
120,848.214,1.47118,2.2646,1.01712,1.09942,0.6666,0.6353,0.64413,0.3381,0.71413,0.61911,0.63437,0.32606,1.99472,2.94769,1.40201,1.35919,0.000867832,0.000867832,0.000867832
121,854.85,1.46859,2.2221,1.00154,1.08092,0.68781,0.62913,0.64225,0.35539,0.7234,0.61516,0.62486,0.34474,1.94374,2.97502,1.38428,1.33879,0.000863116,0.000863116,0.000863116
122,862.202,1.49461,2.26239,1.02231,1.07808,0.67896,0.65877,0.65942,0.35852,0.60106,0.64051,0.59806,0.34087,1.94284,2.89685,1.39255,1.32687,0.0008584,0.0008584,0.0008584
123,868.811,1.44337,2.18492,0.97319,1.07823,0.68683,0.66497,0.64923,0.34968,0.61477,0.6205,0.58054,0.33473,1.95282,2.9795,1.41692,1.341,0.000853685,0.000853685,0.000853685
124,876.019,1.43098,2.16876,0.97735,1.08333,0.63529,0.6353,0.6395,0.33486,0.5805,0.60852,0.56173,0.31612,1.95184,2.99481,1.39325,1.34035,0.000848969,0.000848969,0.000848969
125,883.298,1.42588,2.14013,0.98035,1.06953,0.63103,0.66802,0.65184,0.35304,0.58989,0.65235,0.63133,0.33481,1.96263,2.98929,1.39329,1.34336,0.000844253,0.000844253,0.000844253
126,889.954,1.45367,2.15405,0.9783,1.07585,0.65338,0.63923,0.64937,0.3552,0.56715,0.67745,0.62522,0.33638,1.98076,2.98139,1.44651,1.34213,0.000839537,0.000839537,0.000839537
127,897.14,1.44887,2.18539,0.99144,1.07606,0.67501,0.63546,0.65141,0.33844,0.63651,0.6176,0.62118,0.32571,1.97305,2.96365,1.45848,1.34185,0.000834822,0.000834822,0.000834822
128,903.863,1.48129,2.20254,0.96945,1.08482,0.66902,0.64436,0.632,0.34266,0.61749,0.61527,0.59742,0.32937,1.9796,3.00476,1.42589,1.36385,0.000830106,0.000830106,0.000830106
129,911.236,1.44028,2.21708,0.9904,1.0779,0.69239,0.6324,0.63023,0.35459,0.68212,0.62645,0.62535,0.3456,1.93231,2.96436,1.37841,1.33279,0.00082539,0.00082539,0.00082539
130,918.052,1.41901,2.14448,0.97242,1.0862,0.64957,0.63292,0.61949,0.34289,0.72612,0.57883,0.61224,0.34136,1.89648,2.9603,1.40104,1.31233,0.000820675,0.000820675,0.000820675
131,925.115,1.44386,2.17313,0.98908,1.0708,0.76253,0.58091,0.64289,0.35949,0.74415,0.57495,0.6271,0.34621,1.90416,2.98537,1.45828,1.31941,0.000815959,0.000815959,0.000815959
132,932.524,1.44108,2.15145,0.97715,1.05269,0.69085,0.61151,0.63818,0.35146,0.61832,0.62062,0.61554,0.34765,1.9638,2.95838,1.42632,1.35931,0.000811243,0.000811243,0.000811243
133,939.079,1.45587,2.16442,0.97962,1.08117,0.63152,0.66106,0.63185,0.34688,0.6186,0.62677,0.61995,0.35072,1.95902,3.01444,1.40168,1.34559,0.000806528,0.000806528,0.000806528
134,946.434,1.44879,2.15123,0.97239,1.06616,0.72826,0.59669,0.6295,0.35146,0.75942,0.60233,0.62349,0.34224,1.92154,3.02728,1.43901,1.34354,0.000801812,0.000801812,0.000801812
135,953.041,1.48944,2.23244,0.99264,1.07929,0.71269,0.59539,0.62955,0.35285,0.70734,0.59845,0.61508,0.34289,1.9636,3.03859,1.46472,1.35548,0.000797096,0.000797096,0.000797096
136,960.485,1.37916,2.1417,0.93494,1.04825,0.65683,0.61611,0.63314,0.3504,0.6911,0.59073,0.61209,0.33579,1.9487,2.9645,1.46323,1.34657,0.00079238,0.00079238,0.00079238
137,967.433,1.43982,2.1318,0.97579,1.07176,0.68004,0.64752,0.63197,0.34748,0.68017,0.60264,0.62154,0.3343,1.93036,2.95772,1.42244,1.34316,0.000787665,0.000787665,0.000787665
138,974.412,1.39622,2.08212,0.93747,1.06127,0.649,0.64586,0.64417,0.34171,0.71395,0.59379,0.62774,0.32952,2.02023,2.99562,1.46667,1.38539,0.000782949,0.000782949,0.000782949
139,981.74,1.4138,2.17993,0.97752,1.07372,0.64173,0.65914,0.63431,0.34954,0.67273,0.62282,0.63646,0.34407,2.02108,3.00839,1.45191,1.37421,0.000778233,0.000778233,0.000778233
140,988.506,1.43571,2.14731,0.95929,1.08119,0.66912,0.63546,0.64344,0.35083,0.65923,0.63256,0.63867,0.34655,1.98982,2.97736,1.4766,1.34276,0.000773518,0.000773518,0.000773518
141,995.862,1.44409,2.16242,0.93787,1.05735,0.66815,0.6396,0.63363,0.34588,0.73984,0.57577,0.61221,0.33085,1.98403,3.00196,1.47408,1.35436,0.000768802,0.000768802,0.000768802
142,1002.45,1.4037,2.17207,0.95789,1.06618,0.72031,0.6176,0.63392,0.35258,0.69537,0.60569,0.61771,0.3338,1.98602,2.97474,1.46959,1.37611,0.000764086,0.000764086,0.000764086
143,1009.6,1.40479,2.14466,0.93699,1.06748,0.66467,0.63546,0.63896,0.35991,0.65,0.62355,0.6208,0.34153,1.98125,2.95339,1.46892,1.37425,0.000759371,0.000759371,0.000759371
144,1016.67,1.39541,2.13204,0.95048,1.0781,0.76396,0.59653,0.64872,0.34705,0.73491,0.58462,0.61853,0.34831,2.00234,3.02809,1.44738,1.37789,0.000754655,0.000754655,0.000754655
145,1023.5,1.4103,2.17441,0.96078,1.08648,0.65053,0.62139,0.64524,0.3563,0.67986,0.58478,0.60823,0.34284,1.99505,2.99093,1.40847,1.3771,0.000749939,0.000749939,0.000749939
146,1030.75,1.39793,2.1093,0.93279,1.0603,0.67343,0.60875,0.62984,0.34918,0.67252,0.59669,0.60703,0.345,1.97378,2.91685,1.40627,1.34838,0.000745223,0.000745223,0.000745223
147,1037.41,1.3993,2.14221,0.95872,1.07594,0.71907,0.62066,0.64009,0.35458,0.69941,0.61283,0.63165,0.35824,2.00673,2.94342,1.42364,1.35933,0.000740508,0.000740508,0.000740508
148,1044.62,1.40438,2.10961,0.9139,1.03237,0.65266,0.63047,0.61371,0.35288,0.61458,0.6047,0.58103,0.33505,1.99671,3.08159,1.41291,1.35013,0.000735792,0.000735792,0.000735792
149,1051.23,1.44658,2.13659,0.96296,1.06478,0.64554,0.65613,0.63592,0.34861,0.58672,0.65058,0.60924,0.34837,1.96852,3.05108,1.3941,1.33103,0.000731076,0.000731076,0.000731076
150,1058.52,1.41342,2.14807,0.93982,1.05792,0.63814,0.66844,0.64436,0.35727,0.64216,0.5903,0.61102,0.34813,2.00153,2.95748,1.42122,1.35325,0.000726361,0.000726361,0.000726361
151,1065.7,1.3861,2.157,0.93885,1.08275,0.69242,0.61454,0.64316,0.35035,0.67724,0.59781,0.61609,0.34243,2.02594,2.88813,1.43351,1.37869,0.000721645,0.000721645,0.000721645
152,1072.36,1.4016,2.18409,0.91479,1.0557,0.67236,0.61438,0.63319,0.33846,0.75409,0.57272,0.61688,0.34265,2.02834,2.868,1.48461,1.38402,0.000716929,0.000716929,0.000716929
153,1079.64,1.39286,2.13446,0.92476,1.06418,0.71987,0.60553,0.63482,0.34212,0.69677,0.59057,0.60822,0.3411,2.03825,2.88062,1.48584,1.39161,0.000712214,0.000712214,0.000712214
154,1086.35,1.4109,2.13064,0.93683,1.0459,0.68058,0.59653,0.62892,0.34395,0.76296,0.56081,0.60357,0.35133,1.98712,2.92595,1.48877,1.37334,0.000707498,0.000707498,0.000707498
155,1093.61,1.3943,2.10354,0.92192,1.05543,0.68751,0.61098,0.62204,0.34708,0.70027,0.57211,0.59758,0.3369,1.97115,2.9449,1.47285,1.37294,0.000702782,0.000702782,0.000702782
156,1100.33,1.40018,2.13913,0.92468,1.05595,0.63861,0.63851,0.61425,0.33957,0.65694,0.6176,0.59573,0.3406,1.98324,2.93082,1.47532,1.38046,0.000698066,0.000698066,0.000698066
157,1107.46,1.3801,2.09955,0.91864,1.05891,0.60984,0.65347,0.59529,0.34175,0.61118,0.60964,0.57964,0.33357,2.01875,2.96525,1.45984,1.37452,0.000693351,0.000693351,0.000693351
158,1114.86,1.40022,2.17145,0.93218,1.06722,0.67087,0.64688,0.62035,0.33381,0.64721,0.61165,0.59513,0.33116,2.03033,2.97873,1.4667,1.38341,0.000688635,0.000688635,0.000688635
159,1121.61,1.37462,2.06971,0.91913,1.05946,0.66577,0.64225,0.61576,0.32713,0.62344,0.59669,0.58236,0.33067,2.03124,2.96656,1.48564,1.37263,0.000683919,0.000683919,0.000683919
160,1128.86,1.37008,2.10182,0.9309,1.06481,0.69405,0.59325,0.61586,0.3426,0.64593,0.5843,0.58189,0.33298,2.00352,2.96582,1.53467,1.3519,0.000679204,0.000679204,0.000679204
161,1135.41,1.40024,2.11568,0.91918,1.06308,0.6761,0.6176,0.61475,0.34869,0.75132,0.57473,0.6138,0.33873,1.97878,2.98679,1.46891,1.32818,0.000674488,0.000674488,0.000674488
162,1142.76,1.38175,2.08974,0.90524,1.05284,0.62995,0.65653,0.64714,0.35423,0.74402,0.58189,0.61087,0.33922,1.98574,3.10504,1.42033,1.32784,0.000669772,0.000669772,0.000669772
163,1149.72,1.33484,2.04742,0.90295,1.04577,0.68295,0.594,0.63947,0.35328,0.73052,0.58103,0.62062,0.33914,1.99762,3.07549,1.44486,1.33345,0.000665057,0.000665057,0.000665057
164,1156.76,1.3718,2.12984,0.91408,1.04335,0.69998,0.59387,0.64284,0.35971,0.69707,0.55486,0.60053,0.33329,2.00206,3.13204,1.41884,1.3477,0.000660341,0.000660341,0.000660341
165,1164.1,1.35052,2.10889,0.92453,1.05364,0.67586,0.59974,0.65243,0.35581,0.65549,0.57883,0.60738,0.33848,1.98479,3.1274,1.39689,1.34245,0.000655625,0.000655625,0.000655625
166,1170.73,1.37333,2.07479,0.88908,1.04706,0.6795,0.61165,0.65919,0.3655,0.66432,0.6147,0.63758,0.33693,2.02721,3.03086,1.38381,1.35776,0.000650909,0.000650909,0.000650909
167,1177.95,1.35338,2.04518,0.88177,1.04307,0.68585,0.61165,0.65599,0.35986,0.68162,0.6147,0.63427,0.33719,2.04028,3.04084,1.36644,1.3679,0.000646194,0.000646194,0.000646194
168,1184.52,1.37457,2.07225,0.92451,1.05817,0.62916,0.66828,0.64601,0.35635,0.60291,0.64551,0.6134,0.3443,2.0073,3.01477,1.38135,1.36619,0.000641478,0.000641478,0.000641478
