epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,218.697,1.85356,2.6946,1.44526,1.26204,0.6153,0.64876,0.58737,0.3433,0.61241,0.63562,0.57074,0.32379,1.88417,2.95554,1.49489,1.32248,0.00129224,0.00129224,0.00129224
31,225.903,1.76025,2.66535,1.44098,1.22541,0.63266,0.61005,0.60154,0.32674,0.56162,0.61951,0.5519,0.3258,1.89591,2.94354,1.54046,1.34594,0.00128753,0.00128753,0.00128753
32,232.693,1.76036,2.70104,1.41667,1.2238,0.72053,0.6028,0.63019,0.34674,0.68421,0.60727,0.61339,0.35222,1.91208,2.83069,1.58003,1.35077,0.00128281,0.00128281,0.00128281
33,239.918,1.79405,2.68241,1.41221,1.23594,0.64934,0.60553,0.59532,0.34245,0.70593,0.6205,0.61375,0.33058,1.89601,2.91794,1.47309,1.33245,0.0012781,0.0012781,0.0012781
34,246.647,1.73679,2.64291,1.35916,1.21847,0.5983,0.67456,0.62913,0.34562,0.56774,0.66554,0.59295,0.33687,1.90847,2.81153,1.5855,1.33468,0.00127338,0.00127338,0.00127338
35,253.73,1.78642,2.64862,1.37583,1.2091,0.56008,0.68785,0.59656,0.34011,0.52988,0.66222,0.58744,0.34015,1.88635,2.85823,1.62248,1.31079,0.00126867,0.00126867,0.00126867
36,261.075,1.76918,2.60289,1.39403,1.23165,0.61983,0.66781,0.60589,0.34429,0.59924,0.65896,0.58803,0.32357,1.8883,2.94058,1.49951,1.32762,0.00126395,0.00126395,0.00126395
37,267.653,1.74873,2.67316,1.35639,1.20653,0.6657,0.64688,0.64338,0.34508,0.6282,0.62645,0.60733,0.32198,1.89155,2.85106,1.4566,1.30837,0.00125923,0.00125923,0.00125923
38,274.806,1.73567,2.58586,1.37195,1.19858,0.69144,0.57515,0.59712,0.32773,0.63541,0.60086,0.60396,0.31574,1.93117,2.88193,1.50443,1.3226,0.00125452,0.00125452,0.00125452
39,281.301,1.71553,2.591,1.35607,1.18667,0.73775,0.56989,0.58769,0.3204,0.7283,0.5706,0.596,0.31986,1.87758,2.8752,1.58861,1.30134,0.0012498,0.0012498,0.0012498
40,288.571,1.76944,2.63774,1.36697,1.21246,0.67445,0.57545,0.57338,0.32556,0.62237,0.60553,0.57503,0.32069,1.8946,2.85717,1.57057,1.32455,0.00124509,0.00124509,0.00124509
41,295.404,1.7358,2.5672,1.33293,1.19774,0.64017,0.62066,0.5974,0.33319,0.63969,0.62967,0.60747,0.33838,1.88912,2.8288,1.50748,1.31851,0.00124037,0.00124037,0.00124037
